Year,Country Name,Indicator Name,Indicator Code,SOURCE_NOTE,SOURCE_ORGANIZATION,Region,IncomeGroup,Value
2010,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,8.426
2011,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,45.69
2011,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,5.3
2011,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,7.58
2012,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,48.56
2012,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,4.5
2012,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,7.25
2013,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,51.04
2013,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,3.7
2013,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,7.07
2014,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,54.55100188
2014,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,3.3
2014,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,6.76
2015,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,58.32795173
2015,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,3.9
2015,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,8.54
2016,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,60.87254007
2016,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,4.7
2016,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,11.58
2017,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,67.47128452
2017,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,5.3
2017,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,12.79
2018,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,70.43428254
2018,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,5.3
2018,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,12.33
2019,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,73.91243991
2019,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,5.4
2019,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,11.94
2020,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,81.34269353
2020,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,2.0
2020,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,13.7
2021,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,80.68989314
2021,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,5.8
2021,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,13.16
2022,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,"Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",International Telecommunication Union (ITU) World Telecommunication/ICT Indicators Database,Latin America & Caribbean,Upper middle income,80.52775094
2022,Brazil,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,"Poverty headcount ratio at $2.15 a day is the percentage of the population living on less than $2.15 a day at 2017 purchasing power adjusted prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.",Latin America & Caribbean,Upper middle income,3.5
2022,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,9.23
2023,Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization. “ILO Modelled Estimates and Projections database (ILOEST)” ILOSTAT. Accessed February 06, 2024. https://ilostat.ilo.org/data/.",Latin America & Caribbean,Upper middle income,7.776
